nohup: ignoring input
Loading dataset...
Loading model...
trainable params: 38938947 || all params: 125481795 || trainable%: 31.03
trainable params: 0 || all params: 12944960 || trainable%: 0.00
Starting training on cuda:7...
#################RUNTIME: 31.89301037788391#################
Batch [20/3529], Total loss: 2330.70751953125, Content loss: 102.40266418457031, Style loss: 41.32485580444336, id loss 1: 3.2440731525421143, id loss 2: 158.9900360107422
#################RUNTIME: 31.081645250320435#################
Batch [420/3529], Total loss: 1295.9864501953125, Content loss: 76.5370864868164, Style loss: 12.790504455566406, id loss 1: 0.7196525931358337, id loss 2: 119.4113998413086

#################RUNTIME: 30.71396541595459#################
Batch [440/3529], Total loss: 1233.0257568359375, Content loss: 72.81578063964844, Style loss: 12.00906753540039, id loss 1: 0.6981436610221863, id loss 2: 114.88972473144531

#################RUNTIME: 31.830093145370483#################
Batch [460/3529], Total loss: 1244.8988037109375, Content loss: 73.25215911865234, Style loss: 12.49890422821045, id loss 1: 0.7117444276809692, id loss 2: 113.40587615966797

#################RUNTIME: 32.46737194061279#################
Batch [480/3529], Total loss: 1246.0228271484375, Content loss: 71.4956283569336, Style loss: 13.253005981445312, id loss 1: 0.6913772821426392, id loss 2: 115.71880340576172

#################RUNTIME: 33.38152813911438#################
Batch [500/3529], Total loss: 1215.6982421875, Content loss: 70.84264373779297, Style loss: 12.368391990661621, id loss 1: 0.7024954557418823, id loss 2: 112.3895492553711

#################RUNTIME: 31.994303464889526#################
Batch [520/3529], Total loss: 1227.3369140625, Content loss: 73.02095794677734, Style loss: 11.9033784866333, id loss 1: 0.6594945788383484, id loss 2: 113.0425796508789

#################RUNTIME: 31.88312578201294#################
Batch [540/3529], Total loss: 1213.8458251953125, Content loss: 72.4967269897461, Style loss: 11.667119979858398, id loss 1: 0.6459035277366638, id loss 2: 111.62062072753906

#################RUNTIME: 30.977073669433594#################
Batch [560/3529], Total loss: 1162.589111328125, Content loss: 68.96228790283203, Style loss: 11.334162712097168, id loss 1: 0.6521006226539612, id loss 2: 106.83898162841797

#################RUNTIME: 32.57802104949951#################
Batch [580/3529], Total loss: 1205.4136962890625, Content loss: 70.9327392578125, Style loss: 12.190322875976562, id loss 1: 0.6351850032806396, id loss 2: 110.26033782958984

#################RUNTIME: 31.232953548431396#################
Batch [600/3529], Total loss: 1182.2569580078125, Content loss: 69.8540267944336, Style loss: 11.729318618774414, id loss 1: 0.6179169416427612, id loss 2: 109.11727142333984

#################RUNTIME: 32.283164501190186#################
Batch [620/3529], Total loss: 1223.624267578125, Content loss: 72.32369995117188, Style loss: 12.315338134765625, id loss 1: 0.6376950144767761, id loss 2: 111.0978012084961

#################RUNTIME: 31.084656953811646#################
Batch [640/3529], Total loss: 1178.415283203125, Content loss: 68.9663314819336, Style loss: 12.002754211425781, id loss 1: 0.6346102356910706, id loss 2: 108.4831771850586

#################RUNTIME: 33.11933898925781#################
Batch [660/3529], Total loss: 1182.8828125, Content loss: 70.3962631225586, Style loss: 11.521923065185547, id loss 1: 0.637776792049408, id loss 2: 108.29646301269531

#################RUNTIME: 31.386504411697388#################
Batch [680/3529], Total loss: 1159.5211181640625, Content loss: 67.51101684570312, Style loss: 12.067411422729492, id loss 1: 0.605352520942688, id loss 2: 106.397705078125

#################RUNTIME: 34.1396369934082#################
Batch [700/3529], Total loss: 1155.7552490234375, Content loss: 68.4591293334961, Style loss: 11.450149536132812, id loss 1: 0.5851003527641296, id loss 2: 106.45301818847656

#################RUNTIME: 33.98328876495361#################
Batch [720/3529], Total loss: 1140.1561279296875, Content loss: 69.10840606689453, Style loss: 10.697437286376953, id loss 1: 0.5672356486320496, id loss 2: 103.38081359863281

#################RUNTIME: 33.494242429733276#################
Batch [740/3529], Total loss: 1138.480224609375, Content loss: 67.36628723144531, Style loss: 11.282055854797363, id loss 1: 0.5866498947143555, id loss 2: 104.9218521118164

#################RUNTIME: 35.1386513710022#################
Batch [760/3529], Total loss: 1144.0557861328125, Content loss: 67.73275756835938, Style loss: 11.528092384338379, id loss 1: 0.5845277905464172, id loss 2: 103.46990203857422

#################RUNTIME: 34.23962044715881#################
Batch [780/3529], Total loss: 1133.1102294921875, Content loss: 66.74224090576172, Style loss: 11.551188468933105, id loss 1: 0.5680133700370789, id loss 2: 103.13166809082031

